cities,Montgomery,Phoenix,Sacramento,Denver,Tallahassee,Atlanta,Honolulu,Boston,New York,Austin,Los Angeles,Orlando
Montgomery,0,0,1502,381,2091,473,1203,365,179,182,147,61,4174,880,1127,294,921,247,683,371,1860,463,391,231
Phoenix,1502,381,0,0,649,228,597,106,1611,370,1591,475,2758,511,2433,297,2242,287,854,135,358,90,1796,415
Sacramento,2091,473,649,228,0,0,894,141,2077,387,2019,270,2300,467,2702,467,2545,506,1404,270,359,87,2264,405
Denver,1203,365,597,106,894,141,0,0,1274,305,1169,180,3069,540,1801,323,1639,236,760,132,806,150,1474,218
Tallahassee,179,182,1611,370,2077,387,1274,305,0,0,229,64,4352,864,1141,275,938,244,802,270,2031,432,217,210
Atlanta,147,61,1591,475,2019,270,1169,180,229,64,0,0,4228,594,970,160,767,138,804,135,1936,290,399,93
Honolulu,4174,880,2758,511,2300,467,3069,540,4352,864,4228,594,0,0,5767,690,5549,744,3902,630,2702,320,4900,707
Boston,1127,294,2433,297,2702,467,1801,323,1141,275,970,160,5767,690,0,0,189,74,1598,450,2450,385,1092,196
New York,921,247,2242,287,2545,506,1639,236,938,244,767,138,5549,744,189,74,0,0,1437,250,2340,350,926,165
Austin,683,371,854,135,1404,270,760,132,802,270,804,135,3902,630,1598,450,1437,250,0,0,1250,195,983,164
Los Angeles,1860,463,358,90,359,87,806,150,2031,432,1936,290,2702,320,2450,385,2340,350,1250,195,0,0,2135,694
Orlando,391,231,1796,415,2264,405,1474,218,217,210,399,93,4900,707,1092,196,926,165,983,164,2135,694,0,0
